/ d 755 4096 0 0 5 24 6 46
bin d 755 4096 0 0 6 1 1 22 /
dev d 755 4096 0 0 6 1 1 23 /
lib64 d 755 4096 0 0 6 1 1 23 /
mnt d 755 4096 0 0 6 1 1 23 /
root d 700 4096 0 0 6 1 1 23 /
snap d 755 4096 0 0 6 1 1 23 /
sys d 755 4096 0 0 6 1 1 23 /
var d 755 4096 0 0 6 1 1 23 /
boot d 755 4096 0 0 6 1 1 23 /
etc d 755 4096 0 0 6 1 1 23 /
lost+found d 700 4096 0 0 6 1 1 23 /
opt d 755 4096 0 0 6 1 1 23 /
run d 755 4096 0 0 6 1 1 23 /
srv d 755 4096 0 0 6 1 1 23 /
cdrom d 755 4096 0 0 6 1 1 24 /
home d 755 4096 0 0 6 1 1 24 /
lib d 755 4096 0 0 6 1 1 24 /
media d 755 4096 0 0 6 1 1 24 /
proc d 755 4096 0 0 6 1 1 24 /
sbin d 755 4096 0 0 6 1 1 24 /
usr d 755 4096 0 0 6 1 1 24 /
tmp d 666 16 1000 1000 6 10 3 3 /
b d 755 4096 0 0 6 28 17 59 /
os d 755 4096 1000 1000 6 1 1 25 /
rae d 755 4096 1001 1001 6 1 1 25 /
.cache d 700 4096 1000 1000 6 1 1 28 /
.config d 700 4096 1000 1000 6 1 1 28 /
.gnupg d 700 4096 1000 1000 6 1 1 29 /
.local d 700 4096 1000 1000 6 1 1 29 /
공개 d 755 4096 1000 1000 6 1 1 29 /
다운로드 d 755 4096 1000 1000 6 1 1 29 /
문서 d 755 4096 1000 1000 6 1 1 29 /
바탕화면 d 755 4096 1000 1000 6 1 1 29 /
비디오 d 755 4096 1000 1000 6 1 1 30 /
사진 d 755 4096 1000 1000 6 1 1 30 /
음악 d 755 4096 1000 1000 6 1 1 31 /
템플릿 d 755 4096 1000 1000 6 1 1 31 /
hello.txt f 644 7 1000 1000 5 24 22 17 /
hello f 666 16 1000 1000 6 10 3 3 /
a.a f 666 16 1000 1000 5 28 18 49 /
a.b f 644 0 0 0 5 28 18 53 /
b.b f 666 16 1000 1000 5 28 19 0 /
x f 666 16 1000 1000 5 28 19 0 /
a f 666 16 1000 1000 5 28 19 0 /
xx f 666 16 1000 1000 5 28 19 0 /
xqwer d 700 4096 0 0 5 28 19 29 /
abcde d 700 4096 0 0 5 28 20 3 /
xsd d 700 4096 0 0 5 28 20 7 /
hsdf d 700 4096 0 0 5 28 20 8 /
dwf d 700 4096 0 0 5 29 0 2 /
xad d 700 4096 0 0 5 29 0 3 /
aa d 700 4096 0 0 5 29 0 3 /xad
aa.txt f 644 0 0 0 5 29 0 3 /xad
aa d 700 4096 0 0 5 29 0 2 /dwf
aa.txt f 644 0 0 0 5 29 0 2 /dwf
aa d 700 4096 0 0 5 28 20 7 /xsd
aa.txt f 644 0 0 0 5 29 0 2 /xsd
aa d 700 4096 0 0 5 28 20 3 /abcde
aa d 700 4096 0 0 5 28 20 3 /xqwer
